wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-07-16 18:16:59,076-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-groovy-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-nuget-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-migrationagent-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-timeline-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-capabilities-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-npm-repository-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-iq-repository-oss-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-indexer-lucene-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-webresources-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-site-repository-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-analytics-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,077-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-kazuki-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,078-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-plugin-console-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,078-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ui-extjs3-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,078-0600 INFO  [jetty-main-1]  org.sonatype.nexus.events.EventSubscriberHost - Starting
jvm 1    | 2018-07-16 18:16:59,123-0600 INFO  [jetty-main-1]  org.sonatype.nexus.timeline.DefaultNexusTimeline - Initializing Nexus Timeline...
jvm 1    | 2018-07-16 18:16:59,124-0600 INFO  [jetty-main-1]  org.sonatype.nexus.timeline.DefaultNexusTimeline - Starting Nexus Timeline...
jvm 1    | 2018-07-16 18:16:59,397-0600 INFO  [jetty-main-1]  org.sonatype.timeline.internal.DefaultTimeline - Started Timeline...
